Active Cases,Continant,Country,Deaths/ 1M pop,New Cases,New deaths,Srious/Critical Cases,Tests/ 1M pop,Tot Cases/1M pop,Total Cases,Total Recovered,Total Tests,Total deaths
567086,North America,USA,86,259,25,13487,9845,1947,644348,48708,3258879,28554 
88889,Europe,Spain,409,2157,318,7371,13918,3910,182816,74797,650755,19130 
105418,Europe,Italy,358,,,3079,18481,2732,165155,38092,1117404,21645 
99741,Europe,France,263,,,6457,5114,2265,147863,30955,333807,17167 
53949,Europe,Germany,45,,,4288,20629,1608,134753,77000,1728357,3804 
85264,Europe,UK,190,,,1559,5876,1451,98476,N/A,398916,12868 
20897,Asia,Iran,58,1606,92,3594,3695,929,77995,52229,310340,4869 
62200,Asia,Turkey,18,,,1820,5664,823,69392,5674,477716,1518 
22390,Europe,Belgium,419,1236,417,1182,11056,3003,34809,7562,128132,4857 
25649,Europe,Netherlands,193,1061,181,1279,8220,1705,29214,250,140845,3315 
13229,South America,Brazil,8,405,3,296,296,137,29015,14026,62985,1760 
18390,North America,Canada,27,,,557,12393,752,28379,8979,467736,1010 
25402,Europe,Russia,2,3448,34,8,11056,191,27938,2304,1613413,232 
9753,Europe,Switzerland,147,86,30,386,22993,3053,26422,15400,199000,1269 
17719,Europe,Portugal,62,750,30,229,20430,1848,18841,493,208314,629  
5921,Europe,Austria,44,62,,232,17410,1600,14412,8098,156801,393 
9827,Asia,Israel,16,90,10,174,21634,1455,12591,2624,187250,140 
12026,Europe,Ireland,90,,,158,18358,2541,12547,77,90646,444 
10826,Europe,Sweden,132,613,130,996,7387,1242,12540,381,74600,1333 
10520,Asia,India,0.3,86,1,,199,9,12456,1513,274599,423 
8113,South America,Peru,8,,,146,3318,348,11475,3108,109385,254 
2627,Asia,S. Korea,4,22,4,55,10509,207,10613,7757,538775,229 
7547,Asia,Japan,1,,,168,745,68,8626,901,94236,178 
5242,South America,Chile,5,,,389,4806,433,8273,2937,91873,94 
6690,South America,Ecuador,22,,,135,1479,445,7858,780,26093,388 
6705,Europe,Poland,8,189,6,160,4467,205,7771,774,169071,292 
5958,Europe,Romania,20,491,20,243,4139,401,7707,1357,79629,392 
3535,Europe,Denmark,55,198,12,89,14223,1188,6879,3023,82380,321 
6616,Europe,Norway,28,1,,64,24020,1254,6798,32,130216,150 
4736,Asia,Pakistan,0.6,122,13,46,358,29,6505,1645,78979,124 
2658,Australia/Oceania,Australia,2,21,,66,14902,254,6468,3747,380003,63 
5306,Europe,Czechia,16,2,,75,13634,589,6303,831,146004,166 
4852,Asia,Saudi Arabia,2,,,71,4309,168,5862,931,150000,79 
3273,North America,Mexico,3,448,43,207,311,45,5847,2125,40091,449 
